id_student,id_site,date,sum_click
10346,13,170,18
10415,482,175,21
11757,561,75,20
11316,172,163,17
10806,416,7,27
10107,477,200,24
10812,173,230,18
10932,64,109,15
10902,591,229,16
11207,583,128,28
10067,123,198,23
10989,80,93,17
11817,583,35,19
10269,193,64,20
10450,412,98,19
11551,574,222,18
11668,356,127,21
11528,358,33,19
10347,435,234,14
11641,521,185,16
11546,510,30,23
10459,162,154,27
10305,14,148,20
11246,218,58,23
11160,27,80,20
10601,401,224,23
11733,85,112,17
10119,262,93,20
11819,335,183,21
10652,429,197,22
10758,397,92,30
11718,582,86,19
11975,173,80,22
10352,359,147,21
10302,247,127,11
10577,235,91,18
11755,210,198,21
11854,346,168,20
11513,434,154,20
10152,400,149,24
10104,421,241,27
11401,417,107,23
10855,342,191,14
11461,1,169,14
11591,401,166,15
11626,599,142,19
10311,573,90,20
10919,453,18,15
10928,535,192,18
11137,211,233,28
11562,79,58,14
10812,169,145,21
11562,401,20,27
10625,550,10,23
11442,202,106,27
11417,469,3,22
10451,476,248,17
10598,402,92,23
10042,550,216,25
10292,329,174,26
11014,505,246,25
10573,83,195,17
10868,413,192,23
10251,238,110,20
11928,579,121,16
11886,486,243,17
11920,50,19,23
10650,143,110,18
11955,518,241,16
11157,519,225,30
10842,59,111,12
11496,65,229,18
10566,548,98,21
10966,427,17,22
11230,178,201,20
11137,39,27,14
10715,55,209,14
10664,213,160,26
10806,157,205,21
10234,102,77,17
10147,420,108,26
10318,536,123,26
11970,173,201,29
10988,427,22,24
10304,537,197,18
10465,390,26,26
11290,326,49,22
10193,465,228,18
10377,12,47,19
10874,166,162,23
11805,396,201,13
11702,310,107,18
11953,304,73,14
11105,425,192,22
11540,11,21,18
10869,343,151,15
10930,277,88,20
11387,548,55,21
11648,332,178,21
11555,201,116,16
10960,572,35,20
11637,37,6,27
10105,242,53,27
11995,552,66,22
10076,39,219,19
10296,437,76,16
11835,218,188,25
11424,534,54,25
11211,514,62,17
10165,364,39,21
11991,131,6,28
11500,16,139,21
10309,434,231,22
10453,420,235,17
10676,103,152,26
10465,400,14,21
10391,518,168,15
11771,472,202,15
11090,262,6,23
11051,557,146,15
11898,233,84,20
11678,57,135,21
11176,32,103,20
11104,325,216,27
10799,98,90,25
10932,544,88,21
10870,480,109,16
10422,370,171,20
10992,374,243,16
11035,336,157,24
10464,374,215,20
11831,162,196,17
10225,373,152,28
11339,370,96,16
11151,88,18,17
10316,13,212,18
10820,449,39,25
10111,557,107,29
11866,550,240,11
10067,44,14,22
10750,275,197,33
11724,13,220,22
10256,247,237,18
11204,296,37,27
10909,398,138,17
10080,485,31,21
11918,556,112,20
10451,78,39,17
11574,64,99,22
10993,333,154,17
11629,561,64,20
11975,523,148,21
11628,277,228,23
11701,146,44,30
10648,473,162,21
10783,134,125,15
10002,366,34,21
10274,139,88,22
10970,435,170,20
10483,549,121,20
10334,35,118,23
10876,354,244,32
10153,479,219,19
11319,93,39,28
11197,499,192,22
10024,25,41,27
10155,531,86,23
11189,196,137,20
11864,28,231,21
10741,169,166,22
10021,379,40,19
10773,386,152,22
11911,432,243,23
10525,465,8,17
11392,83,204,18
10179,561,38,20
10154,104,125,24
11711,88,72,17
11163,306,48,31
10674,224,7,15
10960,133,238,18
11275,478,205,25
11433,520,134,22
11141,582,5,25
10431,41,47,30
11775,274,121,15
11088,132,90,16
10957,3,85,24
11677,402,147,18
10070,552,193,14
10422,459,125,23
10782,220,63,18
11908,511,78,19
10387,40,220,11
11388,562,236,23
11747,368,173,24
11056,18,31,22
10370,121,64,17
11276,510,48,22
10142,4,113,16
11423,317,63,22
10821,524,39,20
11549,493,16,18
10924,396,133,21
10698,524,80,18
11824,385,225,15
10838,129,100,17
11244,394,241,19
10476,239,145,26
11902,421,99,18
11081,286,115,15
11633,156,15,20
11629,309,77,24
10668,322,68,28
11965,336,2,13
11988,531,39,22
10239,312,37,25
11206,216,207,20
11357,383,79,21
10298,366,199,23
11021,311,58,23
10044,322,203,30
10586,290,59,17
11193,94,219,25
10337,294,198,33
11869,442,224,29
11099,551,117,24
10993,329,148,24
11742,40,192,22
11514,593,11,25
10011,392,150,18
11978,167,31,22
11557,278,213,26
10232,35,106,24
11810,123,58,29
10900,11,196,14
10682,39,129,14
11794,234,106,19
10769,199,145,13
10282,404,153,26
10034,38,106,19
10066,70,12,14
10273,371,244,19
10230,12,70,26
10844,188,154,28
10813,55,154,18
11094,393,117,19
10484,415,91,17
11302,558,54,28
11873,504,244,25
10885,309,101,29
11409,208,117,27
11539,141,168,18
11411,457,169,26
10959,1,241,14
10696,534,97,18
11971,33,210,18
11136,94,111,15
11039,372,145,21
11275,274,47,20
11495,285,62,19
10328,552,218,27
10782,65,77,32
11309,6,103,19
10899,379,173,18
11629,288,132,15
10211,210,166,25
11428,405,184,18
10412,373,228,19
11574,318,11,20
11914,545,95,16
11082,574,210,15
10318,565,217,24
11132,97,102,19
10960,513,112,27
10349,169,242,15
11433,177,238,17
11439,433,61,24
11135,341,215,22
10214,510,140,16
10575,152,187,24
11303,54,4,21
11103,263,207,22
11242,32,101,20
11778,278,234,21
10894,88,74,20
10190,78,152,14
11150,438,58,22
11689,315,177,19
10697,117,186,16
11268,252,238,18
10193,366,177,20
10164,595,195,19
10710,497,142,10
10512,43,29,24
11054,245,137,25
10110,40,98,18
11479,93,157,27
10054,479,67,20
11542,270,234,18
10863,407,232,19
11074,296,72,32
11121,47,43,27
10160,574,28,16
11742,480,53,11
10814,78,56,14
10671,443,221,17
11630,372,162,25
11013,21,126,20
10160,206,199,16
11099,255,219,25
11379,203,248,23
11390,118,94,23
10932,20,91,25
11708,288,174,18
10963,280,55,18
11941,54,208,15
11148,9,201,14
10679,343,241,20
11599,364,14,16
10565,174,212,17
10164,288,238,25
10461,530,113,21
10994,501,64,24
10133,112,49,14
10720,593,237,27
10117,31,121,25
11665,278,246,23
10998,582,152,21
11783,489,249,12
11099,524,175,17
11403,97,223,21
11115,569,144,18
11497,469,27,19
10538,519,219,29
10215,372,101,17
11966,596,55,20
10495,77,20,19
10893,206,38,22
10326,406,87,15
11217,272,218,9
10182,170,79,23
10992,76,149,20
10273,75,197,24
10196,407,204,18
11184,550,139,21
10345,361,230,24
11982,505,181,10
11985,204,212,17
10183,542,73,23
10969,554,211,16
11729,225,177,14
11362,193,119,19
10374,72,38,21
11629,415,31,17
10576,480,197,13
10762,323,63,24
11732,405,132,22
11032,413,122,16
11788,186,30,30
10938,172,219,19
11166,521,157,24
11832,277,2,18
10350,487,239,27
11057,371,42,22
11300,41,102,21
11247,98,29,20
11811,593,218,16
10854,549,53,16
10597,57,2,23
11348,239,214,18
10513,11,212,17
11491,317,167,27
10947,124,209,17
10637,39,47,23
10719,294,52,17
11803,595,198,19
10519,314,10,17
10442,543,206,22
11301,60,2,18
10603,42,147,21
10087,82,109,28
11395,414,221,23
11509,436,13,26
10592,519,13,27
11552,322,44,28
11860,53,53,24
11592,276,61,17
11752,359,62,18
10200,173,48,21
11555,474,178,19
11581,283,113,16
10804,459,222,26
10265,591,63,24
10513,591,154,20
10473,144,129,25
10898,430,139,16
11046,346,125,9
10594,35,126,22
10498,586,87,17
11594,294,115,20
11626,310,216,22
10513,272,9,17
10359,126,98,20
10838,105,228,25
10017,432,5,23
10841,62,163,14
11868,308,81,23
11829,453,163,16
10141,582,185,23
10906,380,170,15
11188,528,176,21
11804,213,118,13
11079,262,144,15
10673,382,110,26
10146,327,132,25
10910,428,23,25
10874,173,74,13
10773,443,170,18
11582,545,55,10
11965,378,227,24
10001,147,224,19
11687,107,165,20
11712,339,52,12
11716,379,75,30
10598,431,153,15
11575,351,148,25
11031,286,88,19
11835,437,110,29
11294,262,86,15
11328,470,52,22
10853,561,96,16
10063,143,33,23
11163,501,179,30
11430,58,11,16
11693,95,124,14
10786,19,181,18
10357,54,174,21
11240,565,135,26
10090,339,132,22
10008,316,191,16
11681,317,161,25
11677,485,189,16
10360,342,61,26
11600,571,213,15
10146,513,41,28
10316,67,51,21
10089,576,8,19
11120,501,62,20
11433,338,82,17
10766,10,105,17
10643,565,152,18
11228,562,74,23
11749,584,98,21
10101,269,138,15
11867,584,109,16
11846,440,18,29
10269,287,101,23
10120,435,112,17
11696,214,190,20
10204,217,19,16
10869,559,94,17
11619,549,189,23
10208,346,201,11
10448,368,72,26
10096,215,227,22
10603,365,225,20
11750,173,43,18
10478,179,50,20
11775,60,107,18
10727,592,61,17
10686,482,51,21
11693,72,132,16
10839,261,210,23
10451,119,124,16
11462,254,17,20
10921,423,51,19
11802,20,95,25
11841,472,103,13
11087,92,219,26
11783,232,248,17
10610,69,239,21
11234,486,194,18
10619,274,207,22
11935,286,53,28
10977,266,142,24
11784,589,187,17
10377,45,173,20
10701,34,143,15
10093,447,92,21
11738,190,157,26
11027,377,215,20
11649,556,29,17
11676,518,11,20
10542,122,80,22
10566,382,225,16
10706,151,129,22
10196,177,49,25
10181,324,164,18
10970,424,234,22
11994,230,56,23
11228,451,219,18
11088,350,184,17
11442,380,47,18
11596,246,221,18
11769,95,145,23
10889,370,131,27
11502,136,92,20
10593,132,170,24
10790,170,210,15
11686,161,158,18
10859,403,162,19
11833,111,141,19
11891,266,96,20
11935,247,207,13
11952,382,82,21
10989,463,66,18
10467,374,203,20
10098,239,211,16
10249,158,149,19
10417,75,77,21
11154,305,198,25
10714,339,186,10
10048,153,167,15
10119,84,44,17
11208,390,28,19
10587,248,87,23
10161,539,207,12
11777,244,156,26
10453,110,63,28
10974,452,198,27
11198,111,66,22
10640,343,52,15
11463,573,198,15
10374,145,54,18
11318,585,86,21
10059,396,171,19
10539,299,12,18
11038,33,23,24
11743,322,215,19
11732,251,209,20
11767,309,74,28
11565,551,238,19
10525,230,195,18
11327,505,180,15
11054,106,134,14
11774,302,12,19
11735,255,181,28
11475,353,51,16
11923,38,159,20
10776,53,160,16
11185,279,91,24
11521,596,125,20
11529,278,4,22
11234,412,103,20
10218,101,74,21
10507,53,153,23
11909,512,159,25
10654,146,25,14
10711,70,180,29
11139,412,89,20
11716,578,134,25
11504,431,51,13
10016,376,213,19
11898,469,128,14
10422,349,202,26
10993,252,194,29
10266,155,248,27
11386,78,214,23
11691,206,202,25
11981,179,155,20
11011,122,22,26
10168,278,239,28
10595,288,197,15
10220,112,218,21
10499,120,170,22
11379,468,228,15
10847,533,166,22
11485,60,140,15
11630,285,110,20
11001,99,231,21
11615,109,141,22
11939,60,167,17
10481,402,13,27
10550,191,121,17
10951,453,126,21
11926,376,27,18
10899,326,87,16
10655,76,123,14
10126,154,33,29
10192,206,29,18
10003,252,238,25
10836,512,175,20
11003,362,36,18
10398,238,196,18
10362,173,232,20
11280,470,236,18
10185,208,187,18
10118,394,65,21
11678,415,55,18
10290,586,237,16
10588,101,138,28
10262,224,212,19
10247,104,28,21
10035,117,115,14
10869,12,198,14
11784,412,228,12
10140,13,211,20
11731,333,170,20
10078,4,218,17
11389,368,37,19
11495,9,197,24
10479,293,212,27
11465,237,54,26
10536,281,126,7
11204,164,157,17
11316,74,158,14
11645,364,110,21
10981,535,245,21
11257,408,119,16
11283,520,40,18
10535,396,117,12
11666,7,24,23
11283,219,65,18
11838,182,103,22
10916,264,200,18
11471,530,108,25
10151,378,220,27
11217,467,107,20
11131,158,38,21
10381,205,116,17
11966,72,226,24
11105,12,183,26
11836,460,40,26
11937,67,168,20
10544,563,244,19
10423,478,156,20
11035,403,11,19
11687,364,99,21
10236,520,189,14
11896,372,182,22
10471,35,200,22
11644,479,139,18
10875,453,36,22
11146,166,25,20
11158,489,70,15
10293,150,17,18
11836,29,103,10
10900,282,67,25
10305,254,228,15
10349,423,74,21
11310,591,243,27
11090,54,57,14
11171,290,130,18
11719,225,121,25
11908,246,238,15
11063,286,181,10
10767,461,201,23
10387,439,126,26
11816,151,108,15
11638,426,237,17
10690,128,200,24
11821,589,52,23
11374,438,177,20
10395,413,18,13
10573,195,163,22
10726,529,133,19
11343,375,19,30
11070,472,131,22
11244,397,241,28
11259,54,120,17
11647,286,243,15
11240,596,30,18
10345,500,73,21
10745,586,10,19
10300,566,88,18
11831,482,101,25
11116,212,157,18
10383,31,248,23
10272,259,126,17
10025,35,206,12
10066,49,2,17
11983,145,11,29
11104,505,136,29
10564,363,101,13
10436,519,65,14
10561,574,177,19
11724,289,68,15
11945,162,202,22
10905,341,62,25
10055,62,86,22
10910,323,44,24
11901,485,43,31
11802,83,105,21
10128,63,153,23
11371,370,115,22
10706,58,135,22
11854,434,76,14
11330,478,161,19
10993,261,86,23
10034,379,234,23
10542,551,1,14
11277,277,139,22
11016,455,19,27
10886,533,204,20
10585,258,70,22
10151,581,207,15
10322,222,79,15
11029,74,155,17
11242,51,43,12
11014,120,12,19
10671,547,21,19
11030,320,44,21
11489,476,230,26
11419,227,167,21
11925,236,186,16
10559,215,195,19
10758,176,123,25
10371,160,209,19
11307,541,211,26
10784,360,5,25
11014,308,160,17
10105,534,74,22
10553,189,163,20
10695,15,95,24
11292,287,180,17
11493,14,199,13
10999,312,72,20
10184,579,110,13
11151,261,28,13
11796,132,61,11
10503,248,6,18
11012,337,167,23
11609,356,111,17
10505,463,73,23
10188,222,220,22
10873,562,240,16
11046,591,131,24
11028,480,137,23
10080,17,33,19
10302,465,78,21
10244,359,51,18
11813,60,217,21
11791,204,136,19
10381,113,45,24
11684,498,220,25
10174,305,166,13
10836,588,133,13
11362,150,97,9
11684,191,160,19
11531,446,116,19
10885,211,201,14
11481,222,8,26
11579,425,73,21
10921,102,101,22
10281,456,76,16
10538,475,196,18
10814,28,50,14
10462,172,200,29
11479,20,59,20
11231,309,13,15
10221,159,224,27
10534,131,53,18
11580,347,138,24
11400,95,173,15
10305,332,223,20
11202,504,2,22
11332,360,101,21
11184,240,185,11
11699,326,220,22
11089,554,73,28
11640,88,220,22
10763,107,24,15
11272,43,181,15
11951,317,218,20
10494,290,235,15
11366,221,135,20
10764,324,152,16
11783,152,191,13
11957,266,208,17
10549,458,151,17
11589,71,166,16
10080,345,212,11
11088,92,91,15
11474,134,76,22
10406,574,113,27
11411,306,75,17
10694,318,93,30
11685,88,207,16
10079,446,213,24
10875,395,180,23
10879,581,80,22
11181,529,213,16
10138,10,187,20
10467,121,26,23
10030,536,74,18
10761,559,181,27
10210,573,197,14
10800,8,156,23
11586,165,143,16
11402,409,136,16
10591,544,84,12
10754,271,112,15
10231,87,166,22
11241,547,245,26
11598,424,43,11
11145,394,201,15
10402,515,181,22
11202,114,81,28
11354,485,120,33
11833,207,201,13
10876,160,200,22
10122,112,243,23
10319,165,143,26
10857,311,1,17
10190,552,160,7
11406,102,77,21
10411,465,20,17
10791,296,112,21
10590,321,120,21
10926,279,249,22
10076,111,126,21
10093,153,35,25
11482,250,138,23
10869,196,84,14
11812,494,188,17
10790,117,49,18
10349,358,22,21
10445,107,11,15
10189,211,117,13
11725,437,35,18
10135,374,102,19
10242,64,9,15
11641,154,44,19
11262,1,168,19
11474,411,169,23
10254,561,91,31
10200,419,214,19
10029,233,65,19
10602,106,119,13
10270,12,46,16
10952,441,59,16
11784,410,107,25
10439,577,59,22
11719,483,185,20
10589,408,224,29
10382,329,116,20
11922,512,70,24
11767,134,174,19
11446,255,171,22
11801,394,53,21
11837,226,96,24
11756,77,9,25
11489,447,155,23
10704,273,9,26
10652,207,192,20
10808,541,113,22
11042,117,152,21
10839,453,15,18
10723,146,219,25
10981,237,179,27
10372,495,109,17
10876,474,200,27
10754,21,238,20
11538,268,177,18
11805,328,225,23
11402,311,46,16
10017,261,174,17
11457,295,226,14
11670,405,162,11
11374,351,9,21
10752,544,142,18
10725,171,196,15
10253,172,67,25
11184,87,13,19
10408,231,221,19
11107,501,181,19
11997,288,18,14
11347,554,22,20
10150,280,115,17
11114,490,161,17
11413,131,215,18
10625,133,184,13
10923,106,222,21
10050,457,86,15
11171,289,37,15
11504,297,129,21
11173,180,33,18
11076,258,56,21
11635,142,190,20
11970,13,82,13
10806,207,199,19
10858,8,187,17
11169,171,213,22
10236,310,2,18
10186,2,40,17
11040,313,249,23
10620,49,21,18
10913,424,186,22
10798,575,236,17
11092,123,193,22
10749,546,40,20
11169,274,185,20
10798,40,224,23
11507,425,40,20
10925,292,166,21
11541,154,58,17
11376,52,174,15
10680,349,244,21
10431,198,41,24
11648,568,205,17
11054,204,238,20
10912,23,29,19
11866,225,128,16
10187,350,99,15
10584,35,232,22
10682,438,129,16
11051,545,226,20
11604,117,170,17
11549,230,237,17
11547,311,243,25
10678,86,184,22
11083,32,111,19
11032,525,60,23
10735,149,115,25
10402,383,167,13
10468,592,203,20
10718,218,20,17
10094,512,136,27
10331,53,153,13
10238,77,202,24
11105,536,139,35
11345,550,162,22
11925,286,108,14
10487,283,128,20
10777,548,247,13
10356,499,31,21
11489,44,175,22
10813,266,108,21
11744,421,41,17
10808,485,59,18
10788,140,60,19
11933,365,227,24
10193,363,33,22
10508,84,134,20
11986,279,164,21
10632,173,67,20
10120,155,43,17
11649,256,124,23
11621,381,202,19
11662,451,89,15
11360,271,197,20
11487,224,101,17
10881,80,163,16
11314,1,168,15
11451,402,50,24
11066,235,166,17
11843,180,101,27
11537,78,127,17
10504,39,214,20
11164,2,78,23
10447,599,61,17
11270,506,215,13
10696,225,38,18
11534,350,243,19
10157,467,184,18
11202,203,98,20
11189,365,68,20
10404,567,230,20
11728,439,125,16
10180,100,164,18
11184,572,46,15
10418,60,108,21
11163,190,162,17
11005,406,214,19
10394,323,239,23
11374,74,190,19
11833,433,180,18
10703,94,59,34
11884,217,108,19
10264,271,48,18
11948,148,67,18
10939,228,138,20
10078,296,5,19
11964,197,231,25
11223,211,181,27
10636,24,217,21
10628,529,233,19
11915,346,138,18
11507,9,72,16
10926,70,145,15
11765,571,217,19
10971,295,36,24
11031,227,224,25
11718,558,148,19
11025,295,107,24
11569,583,190,24
10385,384,187,16
11671,459,93,22
10475,271,66,12
10318,421,183,22
10165,540,227,22
11379,403,70,23
10853,237,114,20
11973,220,104,19
10301,492,21,16
11899,495,146,17
11080,269,206,16
10766,369,171,20
10004,34,25,17
10715,154,69,17
10298,587,39,21
11205,593,170,20
10955,353,222,29
10523,463,12,24
10256,241,35,10
10944,199,60,22
10470,234,42,18
10803,224,88,18
10217,10,75,14
11756,235,43,22
11426,242,193,19
11989,243,28,22
11764,516,34,20
11244,159,85,25
11631,311,188,19
10129,120,109,17
10929,410,56,20
11015,388,122,25
10871,122,238,15
10237,505,229,15
11637,289,218,7
11559,428,93,24
10530,367,241,19
